loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
19000,19000,19000.0, 36 months, 10.33%,616.03,B,B1,,< 1 year,MORTGAGE,175000.0,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,117xx,NY,21.54,0,Jul-1998,0,,,21,0,23051,44.8%,30,w,6438.79,6438.79,15389.85,15389.85,12561.21,2828.64,0.0,0.0,0.0,Jan-2021,616.03,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,111701,2,5,2,4,2.0,49376,58.0,2,3,7172,53.0,51400,3,1,3,7,5319.0,18116.0,52.5,0,0,150.0,222,1,1,3,1.0,,2.0,,0,9,12,11,11,10,15,17,12,21,0.0,0,0,4,100.0,27.3,0,0,263110,72427,38100,85710,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
3000,3000,3000.0, 36 months,  7.56%,93.41,A,A3,Research assistant,5 years,RENT,60000.0,Source Verified,Nov-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,479xx,IN,1.7,0,Jul-2014,0,,,6,0,1187,3.3%,8,w,0.0,0.0,3281.4742786081,3281.47,3000.0,281.47,0.0,0.0,0.0,Jul-2020,1602.61,,Jul-2020,0,,1,Individual,,,,0,0,1187,0,0,0,0,,0,,1,2,713,3.0,35800,0,0,0,2,198.0,33613.0,3.4,0,0,,52,12,12,0,12.0,,,,0,3,3,5,7,0,6,8,3,6,0.0,0,0,1,100.0,0.0,0,0,35800,1187,34800,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
6000,6000,6000.0, 36 months, 19.92%,222.74,D,D3,Operation Compliance Consultant,10+ years,MORTGAGE,67000.0,Source Verified,Dec-2018,In Grace Period,n,,,debt_consolidation,Debt consolidation,535xx,WI,8.31,0,Jun-1998,1,46.0,,5,0,4985,101.7%,14,w,2411.58,2411.58,5345.49,5345.49,3588.42,1757.07,0.0,0.0,0.0,Dec-2020,222.74,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,140369,1,2,1,1,4.0,17746,84.0,0,0,2545,88.0,4900,1,3,2,2,28074.0,0.0,101.7,0,0,183.0,246,85,4,4,85.0,46.0,4.0,46.0,0,2,2,2,2,7,2,3,2,5,0.0,0,0,2,85.7,100.0,0,0,147009,22731,4900,21027,,,,,,,,,,,,,,,,,222.74,,,,,,,120.09672,2451.62,222.74,N,,,,,,
4300,4300,4300.0, 36 months,  7.21%,133.19,A,A3,X31 Welder,7 years,RENT,54000.0,Not Verified,Oct-2018,Current,n,,,credit_card,Credit card refinancing,236xx,VA,15.62,0,Jun-2005,2,59.0,,7,0,5607,35.9%,16,w,1163.26,1163.26,3587.53,3587.53,3136.74,450.79,0.0,0.0,0.0,Jan-2021,133.19,Feb-2021,Jan-2021,0,,1,Individual,,,,0,184,18655,1,2,1,1,11.0,13048,67.0,2,2,2033,53.0,15600,0,6,2,3,2665.0,7767.0,20.7,0,0,125.0,160,5,5,0,142.0,,1.0,,0,1,4,1,2,9,5,6,4,7,0.0,0,0,3,93.8,0.0,0,0,35038,18655,9800,19438,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
7000,7000,7000.0, 36 months,  8.19%,219.97,A,A4,Project Coordinator,10+ years,OWN,65400.0,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,327xx,FL,14.51,0,Feb-2003,0,,,3,0,13005,96.3%,7,w,2323.4,2323.4,5492.88,5492.88,4676.6,816.28,0.0,0.0,0.0,Jan-2021,219.97,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,28640,1,2,1,2,6.0,15635,81.0,0,0,13005,87.0,13500,1,3,0,2,9547.0,495.0,96.3,0,0,190.0,182,157,6,0,157.0,,19.0,,0,1,1,1,2,5,1,2,1,3,0.0,0,0,1,100.0,100.0,0,0,32794,28640,13500,19294,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
8000,8000,8000.0, 36 months, 16.91%,284.87,C,C5,CORT,2 years,RENT,84500.0,Not Verified,Oct-2018,Current,n,,,other,Other,088xx,NJ,16.79,0,Jun-2010,1,32.0,,18,0,9412,35.5%,21,w,1051.74,1051.74,9044.49,9044.49,6948.26,2096.23,0.0,0.0,0.0,Jan-2021,284.87,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,60971,3,6,2,3,2.0,51559,101.0,4,6,2775,79.0,26500,1,0,1,9,3587.0,14126.0,21.5,0,0,64.0,100,3,2,0,11.0,46.0,2.0,32.0,0,3,4,7,8,8,12,13,4,17,0.0,0,0,6,90.5,0.0,0,0,77700,60971,18000,51200,,,,,,,,,,,,N,CVD19SKIP,UNEMPLOYMENT,COMPLETE,4.0,0.0,Jun-2020,Aug-2020,Jun-2020,4.0,0.0,ACTIVE,347.39,4914.03,67.36,N,,,,,,
8000,8000,8000.0, 36 months, 11.80%,264.96,B,B4,Inspector,10+ years,MORTGAGE,80000.0,Not Verified,Nov-2018,Charged Off,n,,,debt_consolidation,Debt consolidation,215xx,MD,30.95,0,Sep-1996,0,72.0,,16,0,33756,72.1%,29,w,0.0,0.0,3384.44,3384.44,1523.1,591.34,0.0,1270.0,228.6,Jul-2019,264.96,,Jan-2021,0,,1,Individual,,,,0,0,218603,0,4,0,4,13.0,46117,59.0,0,3,7354,64.0,46800,1,4,0,7,13663.0,11443.0,71.3,0,0,266.0,208,16,13,1,16.0,,16.0,,0,9,10,10,13,12,11,16,10,16,0.0,0,0,0,96.6,40.0,0,0,280595,79873,39900,78796,,,,,,,,,,,,N,,,,,,,,,,,,,,,Y,Feb-2020,ACTIVE,Jan-2020,3064.66,45.0,24.0
1500,1500,1500.0, 36 months, 16.14%,52.84,C,C4,Billing manager ,10+ years,MORTGAGE,32000.0,Not Verified,Dec-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,068xx,CT,23.52,2,Sep-1992,2,12.0,,6,0,3973,90.3%,14,f,0.0,0.0,1602.2494221012,1602.25,1500.0,102.25,0.0,0.0,0.0,May-2019,1392.23,,Jan-2021,0,20.0,1,Joint App,107000.0,7.83,Not Verified,0,472,420095,1,2,0,1,16.0,9983,36.0,1,1,251,43.0,4400,1,2,2,2,70016.0,49.0,83.7,0,0,55.0,315,6,6,2,315.0,,1.0,,2,1,3,1,3,2,3,10,3,6,0.0,0,1,1,78.6,100.0,0,0,608700,13956,300,28083,8059.0,Sep-1992,0.0,2.0,5.0,83.7,2.0,4.0,0.0,0.0,2.0,N,,,,,,,,,,,,,,,N,,,,,,
6200,6200,6200.0, 36 months, 12.73%,208.1,B,B5,Production Manager,10+ years,MORTGAGE,52000.0,Source Verified,Nov-2018,Current,n,,,debt_consolidation,Debt consolidation,440xx,OH,19.09,0,Jun-2010,1,,,8,0,9520,36.2%,11,w,1963.63,1963.63,5419.38,5419.38,4236.37,1183.01,0.0,0.0,0.0,Jan-2021,208.1,Feb-2021,Jan-2021,0,,1,Individual,,,,0,403,13434,0,1,0,0,29.0,3914,22.0,0,0,3355,31.0,26300,0,0,1,0,1679.0,13930.0,30.0,0,0,53.0,101,25,25,0,38.0,,1.0,,0,3,4,4,5,2,7,9,4,8,0.0,0,0,0,100.0,75.0,0,0,43915,13434,19900,17615,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
6000,6000,6000.0, 36 months, 14.47%,206.44,C,C2,,,RENT,12500.0,Not Verified,Nov-2018,Current,n,,,debt_consolidation,Debt consolidation,957xx,CA,62.06,0,Feb-1980,1,,37.0,10,1,1171,11%,27,w,1933.76,1933.76,5355.38,5355.38,4066.24,1289.14,0.0,0.0,0.0,Jan-2021,206.44,Feb-2021,Jan-2021,0,,1,Joint App,112500.0,8.16,Not Verified,0,0,22924,2,3,0,1,16.0,21753,42.0,4,7,70,37.0,10600,0,2,2,8,2292.0,1830.0,3.7,0,0,160.0,465,2,2,0,2.0,,1.0,,0,1,6,1,8,7,7,20,6,10,0.0,0,0,4,100.0,0.0,1,0,62675,22924,1900,52075,4105.0,Oct-1987,1.0,0.0,5.0,38.1,3.0,11.0,0.0,0.0,,N,,,,,,,,,,,,,,,N,,,,,,
22875,22875,22875.0, 60 months, 17.97%,580.51,D,D1,Measurement Tech,10+ years,MORTGAGE,80000.0,Verified,Oct-2018,Charged Off,n,,,debt_consolidation,Debt consolidation,737xx,OK,37.16,0,Aug-2002,0,,,11,0,12425,69%,14,w,0.0,0.0,6586.5,6586.5,1482.28,1976.98,0.0,3127.24,562.9032,Apr-2019,580.51,,Oct-2020,0,,1,Joint App,155000.0,31.57,Verified,0,0,165563,1,6,2,3,1.0,106148,77.0,1,2,5003,76.0,18000,1,5,3,5,15051.0,2387.0,68.2,0,0,139.0,159,8,1,1,18.0,,8.0,,0,2,4,2,2,8,4,5,4,11,0.0,0,0,3,100.0,0.0,0,0,213440,118573,7500,127339,58851.0,Aug-2002,0.0,1.0,17.0,49.9,8.0,10.0,0.0,0.0,,N,,,,,,,,,,,,,,,N,,,,,,
35000,35000,35000.0, 60 months, 11.55%,770.63,B,B4,Deputy Public Defender,10+ years,MORTGAGE,130000.0,Not Verified,Oct-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,953xx,CA,10.99,0,Oct-1989,0,38.0,,7,0,34182,49.5%,34,w,0.0,0.0,41393.27,41393.27,35000.0,6393.27,0.0,0.0,0.0,Aug-2020,25198.81,,Aug-2020,0,53.0,1,Individual,,,,0,0,302645,2,1,0,0,90.0,24365,,1,4,16458,50.0,69100,0,0,3,6,43235.0,31656.0,48.6,0,0,186.0,348,3,3,11,3.0,38.0,3.0,38.0,2,4,5,4,6,8,5,15,5,7,0.0,0,0,2,85.3,25.0,0,0,365509,58547,61600,51588,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
3000,3000,3000.0, 36 months, 25.34%,119.82,E,E3,,,RENT,48000.0,Not Verified,Oct-2018,Charged Off,n,,,vacation,Vacation,910xx,CA,21.3,0,Apr-1991,0,,,5,0,12560,74.3%,12,w,0.0,0.0,1230.03,1230.03,419.96,414.56,0.0,395.51,71.1918,May-2019,119.82,,Jan-2021,0,,1,Individual,,,,0,0,20805,0,1,0,1,18.0,8245,60.0,0,1,8135,68.0,16900,1,0,0,2,5201.0,1904.0,85.7,0,0,160.0,330,15,15,0,15.0,,18.0,,0,2,3,2,3,4,4,8,3,5,0.0,0,0,0,100.0,100.0,0,0,30700,20805,13300,13800,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
30000,30000,30000.0, 60 months, 12.98%,682.29,B,B5,Marketing Specialist,6 years,RENT,100000.0,Source Verified,Dec-2018,Fully Paid,n,,,major_purchase,Major purchase,341xx,FL,6.66,2,Sep-2002,2,8.0,,14,0,13395,32.2%,23,w,0.0,0.0,32971.44,32971.44,30000.0,2971.44,0.0,0.0,0.0,Mar-2020,6521.94,,Mar-2020,0,,1,Individual,,,,0,332,161981,1,3,0,1,13.0,9039,39.0,3,5,9108,35.0,43000,2,0,4,6,11570.0,21423.0,37.8,0,0,195.0,171,1,1,4,9.0,15.0,1.0,15.0,0,2,5,6,8,6,10,13,5,14,0.0,0,0,3,81.0,16.7,0,0,237705,22434,33600,23505,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
10000,10000,10000.0, 36 months,  7.21%,309.74,A,A3,Food clerk,10+ years,RENT,45000.0,Not Verified,Oct-2018,Current,n,,,credit_card,Credit card refinancing,983xx,WA,20.99,0,Jul-2010,0,,,4,0,8652,33.9%,8,w,2705.42,2705.42,8358.97,8358.97,7294.58,1064.39,0.0,0.0,0.0,Jan-2021,309.74,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,39029,0,1,0,0,28.0,30377,,0,1,3119,34.0,25500,0,5,0,1,9757.0,4662.0,55.6,0,0,99.0,30,24,24,0,24.0,,24.0,,0,2,3,2,2,5,3,3,3,4,0.0,0,0,0,100.0,0.0,0,0,67843,39029,10500,42343,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
27000,27000,27000.0, 60 months, 14.47%,634.85,C,C2,Truck driver,4 years,MORTGAGE,44000.0,Verified,Dec-2018,Late (31-120 days),n,,,debt_consolidation,Debt consolidation,435xx,OH,30.33,0,Aug-2004,1,58.0,,9,0,1076,7.5%,16,w,19658.87,19658.87,13288.44,13288.44,7341.13,5947.31,0.0,0.0,0.0,Sep-2020,634.85,Feb-2021,Jan-2021,0,58.0,1,Joint App,93524.0,27.1,Verified,0,101,194125,2,4,2,3,5.0,63556,73.0,0,0,891,55.0,14300,2,3,3,4,21569.0,10224.0,9.5,0,0,172.0,143,31,5,5,31.0,,5.0,,2,3,3,3,3,7,4,4,3,9,0.0,0,0,2,75.0,0.0,0,0,222246,64632,11300,75392,34949.0,Mar-2004,1.0,5.0,14.0,58.3,4.0,12.0,0.0,0.0,58.0,,,,,,634.85,,,,,,,711.16002,20749.32,634.85,N,,,,,,
1000,1000,1000.0, 36 months, 16.91%,35.61,C,C5,Supervisor,5 years,OWN,50000.0,Not Verified,Oct-2018,Fully Paid,n,,,other,Other,453xx,OH,18.6,0,May-1989,1,,,5,0,11507,97.5%,23,f,0.0,0.0,1083.2049613104,1083.2,1000.0,83.2,0.0,0.0,0.0,Oct-2019,0.92,,Jan-2021,0,,1,Individual,,,,0,0,19892,1,2,0,2,13.0,8385,37.0,1,1,3008,58.0,11800,1,3,1,3,3978.0,0.0,100.3,0,0,198.0,353,5,5,0,74.0,,5.0,,0,1,3,1,7,12,3,11,3,5,0.0,0,0,1,100.0,100.0,0,0,34309,19892,3000,22509,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
9000,9000,9000.0, 36 months, 10.33%,291.81,B,B1,Operator front end loader,3 years,MORTGAGE,75000.0,Source Verified,Dec-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,967xx,HI,2.81,0,Dec-1997,0,70.0,,6,0,4698,15.4%,22,w,0.0,0.0,9890.0561875226,9890.06,9000.0,890.06,0.0,0.0,0.0,Jan-2020,6398.67,,Jan-2020,0,71.0,1,Individual,,,,0,0,286195,0,0,0,0,105.0,0,,0,5,3980,15.0,30500,0,3,1,6,47699.0,25302.0,15.7,0,0,105.0,251,13,7,2,13.0,117.0,8.0,71.0,4,3,3,4,13,1,5,17,3,6,0.0,0,0,1,76.2,0.0,0,0,380750,4698,30000,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
